Name,Score
Hermy Dot,2
Maurits Gley,42
Violette Elliss,82
Guthrie Filip,73
Sheba Turpey,3
Roseline Spacey,95
Kelcy McMyler,87
Alyss Greenley,54
Letta Langstone,55
Shalom Wolters,92
Chai Ming How,9-
Romeo Ferronet,82
Tuesday Standing,17
Kerri Hadlington,13
Cassi Scotchmoor,25
Bryna Rosenthal,95
Rodolphe Tucknutt,38
Karel Theurer,53
Demetrius Sisneros,65
Emilie Bellard,79
Dedra Lampaert,84
Cherianne Rhydderch,61
Carlyle Sergent,30
Marrissa Nardrup,50
Norry Sullly,53
Wallas O'Cooney,25
Vincenz Copcutt,69
Theodora Micklewright,70
Sydelle Yoodall,39
Royce Mitchall,20
Valaria Mallord,56
Jon Streets,63
Bone Fewlass,81
Everard Brigginshaw,89
Lorri Dearl,6
Malcolm Corstorphine,72
Robbie Meryett,43
Holly Di Iorio,11
Nils Samudio,73
Leslie Finessy,72
Debby Muslim,48
Guido Mussolini,51
Nissie Stowgill,79
Brana Chesley,17
Karney Blaxeland,9
Haz Awang,
Murdock Allix,66
Christophe Madsen,47
Wilow Enders,76
Felicia Lee,166
Noak Boich,49
